regWord,ipaWord,formality,formalityScore,totalSentenceCount
fan,fæn,0,0.0857143,105
stuck,stək,0,0.180952,105
weird,wɪrd,0,0.0571429,105
bunch,bəntʃ,0,0.104762,105
terrible,tɛrəbəl,0,0.269231,104
weed,wid,0,0,103
yeah,jæ,0,0.166667,102
email,imel,0,0,102
finish,fɪnɪʃ,0,0.29,100
boyfriend,bɔjfrɛnd,0,0,100
comment,kamɛnt,0,0.222222,99
totally,totəli,0,0.0909091,99
unfortunately,ənfɔrtʃənətli,0,0.262626,99
gay,ge,0,0.171717,99
hang,hæŋ,0,0.131313,99
helpful,hɛlpfəl,0,0.20202,99
buying,bajɪŋ,0,0.173469,98
avoid,əvɔjd,0,0.28866,97
definitely,dɛfənətli,0,0.113402,97
dad,dæd,0,0.135417,96
super,supər,0,0,96
feelings,filɪŋz,0,0.221053,95
possibly,pasəbli,0,0.284211,95
beer,bɪr,0,0.231579,95
constantly,kanstəntli,0,0.284211,95
seconds,sɛkəndz,0,0.212766,94
damn,dæm,0,0.247312,93
wear,wɛr,0,0.26087,92
starts,starts,0,0.21978,91
worried,wərid,0,0.285714,91
camera,kæmərə,0,0.164835,91
considering,kənsɪdərɪŋ,0,0.244444,90
guitar,gətar,0,0.166667,90
honestly,anəstli,0,0.0888889,90
option,apʃən,0,0.0333333,90
posts,posts,0,0.177778,90
scared,skɛrd,0,0.168539,89
worst,wərst,0,0.247191,89
lately,letli,0,0.0795455,88
drugs,drəgz,0,0.264368,87
self,sɛlf,0,0.275862,87
sell,sɛl,0,0.298851,87
track,træk,0,0.298851,87
whenever,wɛnɛvər,0,0.287356,87
personally,pərsənəli,0,0.27907,86
absolutely,æbsəlutli,0,0.209302,86
dating,detɪŋ,0,0.0465116,86
trust,trəst,0,0.282353,85
web,wɛb,0,0.0361446,83
bike,bajk,0,0,83
horrible,hɔrəbəl,0,0.13253,83
eating,itɪŋ,0,0.256098,82
happening,hæpənɪŋ,0,0.292683,82
hello,həlo,0,0.097561,82
anyways,ɛniwez,0,0.0121951,82
ass,æs,0,0.0365854,82
access,æksɛs,0,0.17284,81
tells,tɛlz,0,0.283951,81
wanting,wantɪŋ,0,0.0987654,81
steam,stim,0,0.125,80
cheap,tʃip,0,0.1875,80
posting,postɪŋ,0,0,80
cat,kæt,0,0.164557,79
knowing,noɪŋ,0,0.282051,78
links,lɪŋks,0,0.038961,77
prefer,prəfər,0,0.207792,77
checked,tʃɛkt,0,0.289474,76
helps,hɛlps,0,0.256757,74
shirt,ʃərt,0,0.283784,74
specifically,spəsɪfɪkli,0,0.232877,73
input,ɪnpʊt,0,0.191781,73
bowl,bol,0,0.246575,73
forever,fərɛvər,0,0.291667,72
foster,fastər,0,0.194444,72
files,fajlz,0,0.140845,71
hats,hæts,0,0.157143,70
software,sɔftwɛr,0,0,70
excited,ɪksajtəd,0,0.205882,68
keeps,kips,0,0.205882,68
awkward,akwərd,0,0.102941,68
birthday,bərθde,0,0.176471,68
options,apʃənz,0,0.0147059,68
quit,kwɪt,0,0.0882353,68
map,mæp,0,0.119403,67
pot,pat,0,0.283582,67
download,dawnlod,0,0,67
episode,ɛpəsod,0,0.0597015,67
rally,ræli,0,0.136364,66
recommendations,rɛkəməndeʃənz,0,0.181818,66
depressed,dəprɛst,0,0.121212,66
button,bətən,0,0.123077,65
depression,dəprɛʃən,0,0.230769,65
flash,flæʃ,0,0.184615,65
forgot,fərgat,0,0.230769,65
paying,peɪŋ,0,0.215385,65
losing,luzɪŋ,0,0.296875,64
photos,fotoz,0,0.09375,64
rent,rɛnt,0,0.15625,64
likes,lajks,0,0.234375,64
drug,drəg,0,0.269841,63
folks,foks,0,0.126984,63
boss,bɔs,0,0.290323,62
chat,tʃæt,0,0.0806452,62
network,nɛtwərk,0,0.274194,62
replace,riples,0,0.274194,62
responses,rəspansəz,0,0.262295,61
lets,lɛts,0,0.0655738,61
teams,timz,0,0.245902,61
wan,wan,0,0.0166667,60
hanging,hæŋɪŋ,0,0.2,60
respond,rəspand,0,0.2,60
literally,lɪtərəli,0,0.258621,58
thinks,θɪŋks,0,0.172414,58
videos,vɪdioz,0,0.0172414,58
alcohol,ælkəhal,0,0.172414,58
breaking,brekɪŋ,0,0.275862,58
album,ælbəm,0,0.0877193,57
cant,kænt,0,0.0175439,57
crap,kræp,0,0.0350877,57
discuss,dɪskəs,0,0.245614,57
interview,ɪntərvju,0,0.263158,57
kick,kɪk,0,0.22807,57
media,midiə,0,0.157895,57
smoked,smokt,0,0.0701754,57
users,juzərz,0,0.0526316,57
user,juzər,0,0.0357143,56
fly,flaj,0,0.285714,56
gear,gɪr,0,0.232143,56
skills,skɪlz,0,0.236364,55
star,star,0,0.290909,55
suicide,suəsajd,0,0.290909,55
click,klɪk,0,0.0181818,55
mainly,menli,0,0.290909,55
loves,ləvz,0,0.185185,54
purchased,pərtʃəst,0,0.222222,54
replies,rəplajz,0,0.0925926,54
horror,hɔrər,0,0.148148,54
diet,dajət,0,0.277778,54
mess,mɛs,0,0.283019,53
overall,ovərɔl,0,0.132075,53
sites,sajts,0,0.169811,53
topic,tapɪk,0,0.132075,53
fans,fænz,0,0.226415,53
healthy,hɛlθi,0,0.245283,53
incredibly,ɪnkrɛdəbli,0,0.0566038,53
feedback,fidbæk,0,0.0576923,52
mode,mod,0,0.134615,52
ridiculous,rədɪkjələs,0,0.192308,52
annoying,ənɔjɪŋ,0,0.0769231,52
throwaway,θroəwe,0,0,52
woke,wok,0,0.215686,51
roommate,rumet,0,0.0196078,51
hitting,hɪtɪŋ,0,0.27451,51
apple,æpəl,0,0.137255,51
bored,bɔrd,0,0.0980392,51
asks,æsks,0,0.2,50
mix,mɪks,0,0.16,50
